year,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
11860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30853,11900,12875,13544,22514,83323,73826,4261,3819,11337,,,,,,,,,,,,,,,,
12040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3032,3473,,242,642,2694,,2062,1827,1595,,2763,1287,458,1321,1779,838,1717,2648,,
12180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3558,6400,0,13965,344,721,986,1059,,,,,,,,,,,,,,,,,,
12208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13125,4898,6011,6644,0,0,0,0,0,0,0,0,0,0,0,5557,4712,21104,26029,22974,23144,18582,0,0,
12355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15829,65894,83341,4401,4273,4649,5825,4764,4804,6717,7610,6870,5986,6810,0,0,,,,,,,,,
12654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10196,10503,9941,10933,23936,17053,2882,,,,,,,,,,,,,,,,,,,
12927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23350,16274,19315,46633,47435,20225,19146,24008,0,12708,14914,19845,14864,10874,11443,9905,8457,8773,8720,30648,31497,30566,29679,29776,30518,
12978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68446,34718,85895,33588,0,0,0,0,0,21941,29142,31718,34349,30800,29588,29591,31863,28189,28827,31228,,,,,,
13573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8698,3758,4417,4172,4586,458,458,20,20,20,20,20,20,5346,0,6018,6744,6957,6519,6914,34510,6466,40723,40521,
13606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
13610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280,3689,6475,7447,24684,11805,13444,14643,9220,7178,8568,7369,4586,5828,9247,19857,9639,,,,,,,,,
14195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7219,15337,7858,0,2557,2892,2561,2996,1536,3448,4748,4820,5717,8490,5183,4874,5083,6442,22168,20791,20732,21165,22485,19943,21405,
14272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35075,12523,12433,45985,77345,40956,16052,13420,15397,39549,58548,32193,33179,36496,22016,17521,12596,19143,16311,18213,41740,39249,42794,37977,38104,
14280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,19122,53426,0,,,5680,5748,,,,,,,,,
14637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10240,0,0,0,0,0,0,0,6083,8762,16001,0,,,,,,,,,,,,,,
14803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10169,20234,44682,21869,1426,2286,2849,4279,14827,8017,,,,,,,,,,,,,,,
14846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11440,10154,11301,10990,9750,10733,12839,12695,17626,17405,36886,5132,6269,0,0,1538,973,1974,2023,3283,2029,16000,17983,14259,,
14930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000,12115,29466,30830,0,0,0,6762,4300,6653,9665,0,0,0,0,0,0,5027,7112,31669,36530,38873,39277,38666,37936,
14995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7136,32492,14532,8432,2022,,1686,1429,3879,2175,0,,,,,,,,,,,,,,
15615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5556,7616,14989,0,8531,0,0,0,0,3655,8436,36146,9209,12126,9890,10267,10641,15996,21878,56474,40279,54320,38125,34207,36978,
15678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5489,17110,,,,,,,,,,,,,,,,,,,
15840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9748,28924,7588,12207,13987,0,0,0,0,410,5628,,,,,,,,,,,,,,,
16040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35299,43636,44105,15117,0,0,3621,2412,4265,4216,8436,11119,9544,8051,8542,6954,8017,7966,9240,9313,9026,9853,10267,10074,,
16058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30008,20427,47172,14874,36069,16610,7873,7421,8842,13133,3273,9029,4812,4424,4749,5257,5147,4817,4777,4242,3276,3633,4354,3781,3853,
16104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9867,0,,,,,,,,
16357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11383,21016,27786,12608,0,1587,3001,,,,,,,,,,,,,,,,,,
16614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14404,18046,5126,5946,6583,6245,7072,6828,6346,5964,0,7669,6239,18638,7122,6789,,,,,,
16741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22833,19869,13522,0,0,0,0,0,0,0,0,0,0,0,0,2141,2831,3698,4057,3948,3875,4325,5613,
17843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14334,14959,21970,39451,10570,11711,10047,11444,13681,3326,4936,7625,5364,4595,5755,3855,3786,6020,9682,8269,7515,21162,21336,21891,25214,
18061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10118,6306,5558,7602,8359,8698,6548,7936,10855,14129,4019,7312,6646,7522,7448,4409,5841,6177,,,,,,,
18072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,33440,2533,2738,2247,2694,3020,3036,11614,3499,15420,25351,,,,,,,,,,,,,
18172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21871,22928,13298,12957,13343,12649,13647,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48391,26083,29892,26511,580,-307,1166,2444,1610,18943,2751,2758,0,828,0,-60,947,-60,-60,5902,5319,5612,43139,41004,42638,
18255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17824,5761,6146,6418,7431,10060,7685,7530,10864,1709,1679,1054,1648,2408,2812,2527,2746,2532,2977,4170,1855,1835,1569,1359,
18396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6813,9894,7580,17858,10203,8582,2889,5198,1817,1796,278,5841,9189,9116,8192,6392,6133,6297,24517,21798,17796,21866,20195,,
18498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24509,16834,24079,36642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,758375,28859,29126,30093,30374,31180,
18532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35780,68778,29653,18887,-80,4944,3133,2967,5584,9387,8047,8845,8567,8788,7369,5408,,,,,,,,,,
18808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51038,25100,34177,21656,43331,44325,20646,23274,25102,54604,10116,14429,11444,3107,9070,0,12891,11881,10041,,,,,,,
18914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5505,5446,6443,5985,7473,6118,6545,1804,1300,1474,4418,,,,,,,,,,,,,
18926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28755,37924,44287,37687,7241,4205,6189,8338,8776,10637,8441,8339,0,0,0,0,0,8299,11994,14352,41347,38048,40804,45044,52318,
18937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4412,4146,3137,257,764,1104,1782,1678,1968,2770,2858,4319,4949,3660,2316,2629,3354,,,,,,,
19149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
19252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15005,28745,19167,1452,7744,1385,14628,2582,4660,4372,4301,,,,,,,,,,,,,
19353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,140032,37921,3941,42661,75446,22190,33142,43869,41882,48250,0,0,58677,62795,63201,50182,41385,,,,,,,
