CIK,Year,Sentimental Score
4187,2012,8055
4187,2012,9817
4187,2012,7798
4187,2011,148
4187,2011,98
4187,2011,148
4187,2011,168
4187,2010,0
4187,2010,137
4187,2010,148
4187,2009,148
4187,2009,148
4187,2009,169
4187,2008,148
4187,2008,148
4187,2008,148
4187,2007,0
4187,2007,0
4187,2007,0
4187,2007,58
4187,2006,58
4187,2006,138
4187,2006,0
4187,2006,138
4187,2005,0
4187,2005,0
4187,2005,0
4187,2004,0
4187,2004,0
4187,2004,0
4187,2003,0
4187,2003,0
4187,2003,0
4187,2003,0
4187,2002,0
4187,2002,0
4187,2002,0
4187,2001,0
4187,2001,0
4187,2001,0
4187,2000,0
4187,2000,0
4187,2000,0
4187,1999,-34
4187,1999,54
4187,1999,0
4187,1998,687
4187,1998,771
4187,1998,522
4187,1997,2092
4187,1997,1926
4187,1997,0
4281,2018,9036
4281,2018,8653
4281,2018,7433
4281,2017,0
4281,2017,1997
4281,2017,1728
4281,2016,4243
4281,2016,3424
4281,2016,1515
4281,2015,3734
4281,2015,3387
4281,2015,2573
4281,2014,4358
4281,2014,2321
4281,2014,1407
4281,2013,2599
4281,2013,1763
4281,2013,1677
4281,2012,1245
4281,2012,1317
4281,2012,881
4281,2011,3330
4281,2011,2857
4281,2011,1790
4281,2010,3886
4281,2010,0
4281,2010,2088
4281,2010,3098
4281,2009,7177
4281,2009,5820
4281,2009,1654
4281,2008,7903
4281,2008,6622
4281,2008,5413
4281,2007,6552
4281,2007,4610
4281,2007,3866
4281,2006,5385
4281,2006,3649
4281,2006,3389
4281,2005,3474
4281,2005,2779
4281,2005,1470
4281,2004,3210
4281,2004,2244
4281,2004,1663
4281,2003,2221
4281,2003,2131
4281,2003,1440
4281,2002,1301
4281,2002,818
4281,2002,371
4281,2001,1446
4281,2001,1990
