CIK,Year,Sentimental Score
9892,2005,43942
9892,2004,59790
9892,2003,0
9892,2002,0
9892,2001,0
9892,2000,0
9892,1999,0
9892,1998,0
9892,1997,0
9892,1996,0
9892,1995,0
9892,1994,0
9984,2018,46639
9984,2017,35611
9984,2016,30206
9984,2015,25557
9984,2014,34039
9984,2013,31142
9984,2012,25785
9984,2011,24226
9984,2010,25462
9984,2009,24605
9984,2008,27809
9984,2007,21487
9984,2006,32253
9984,2005,23725
9984,2004,19412
9984,2003,8594
9984,2002,5237
9984,2001,2136
9984,2000,4623
9984,1999,6180
9984,1998,10562
9984,1997,25864
9984,1996,5463
9984,1995,5258
9984,1994,2610
10048,2018,18853
10048,2017,17766
10048,2016,20398
10048,2015,25183
10048,2014,23476
10048,2013,15137
10048,2012,25949
10048,2011,34087
10048,2010,34158
10048,2009,32798
10048,2008,25684
10048,2007,13080
10048,2006,7258
10048,1995,2383
10081,2008,13462
10081,2007,9893
10081,2006,6430
10081,2005,10461
10081,2004,15477
10081,2003,14267
10081,2002,12748
10081,2001,12697
10081,2000,5199
10081,1999,5901
10081,1998,15258
10081,1997,10325
10081,1996,8264
10081,1995,6259
10119,2000,913
10119,1999,11
10119,1995,24097
10254,2018,39944
10254,2017,22070
10254,2016,15913
10254,2015,14612
10254,2014,9533
10254,2013,6268
10254,2012,5981
10254,2011,4695
10254,2010,3459
10254,2009,3092
10254,2008,7953
10456,2018,26239
10456,2017,30830
10456,2016,6691
10456,2015,9498
10456,2014,39401
10456,2013,40123
10456,2012,33264
10456,2011,31513
10456,2010,31836
10456,2009,31862
10456,2008,29918
10456,2007,23549
10456,2006,25235
10456,2005,33091
10456,2004,24867
10456,2003,13298
10456,2002,10920
10456,2001,12923
10456,2000,37541
10456,1999,15256
10456,1998,8678
10456,1997,3961
10456,1996,5032
10456,1995,0
10456,1994,0
10795,2018,29137
10795,2017,31624
10795,2016,28308
10795,2015,17540
10795,2014,14518
10795,2013,11896
10795,2012,9406
10795,2011,8341
10795,2010,7096
10795,2009,5750
10795,2008,5924
10795,2007,7276
10795,2006,6566
10795,2005,3959
10795,2004,9244
10795,2003,4748
10795,2002,5209
10795,2001,3359
10795,2000,2204
10795,1999,2962
10795,1998,3382
10795,1997,5209
10795,1996,7616
10795,1995,6397
